ML Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8302574065080136,0.8002313979248061,0.3591127098321343,0.6454741379310345,0.46147919876733434,0.3927623358519102
Decision Tree,0.8462846041767849,0.6275880942943963,0.32719836400818,0.3448275862068966,0.3357817418677859,0.2490442310826007
Knn,0.8954589606605148,0.7404285336806145,0.5663366336633663,0.3081896551724138,0.3991625959525471,0.3666924549676901
Naive Bayes,0.8081593006313744,0.7760535366296737,0.31988950276243094,0.6239224137931034,0.422936449963477,0.34780029129230267
Random Forest,0.8702039825157843,0.8090742991855878,0.4444444444444444,0.6077586206896551,0.5134274010013655,0.4478019588873497
